OCLC,Title,Author,Language,Item_type,Publication,Publisher,Database,Notes,Date_Added
"21566083","Ionnis Pici Mirandulae omnia opera ...","Giovanni Pico della Mirandola","Latin","book_printbook","","Paris : Jean Petit, 1517.","","","2017-05-14 13:39"
"81713792","Opera quae extant omnia.","Giovanni Pico della Mirandola; Giovanni Francesco Pico della Mirandola","Latin","book_printbook","","Basileae, [1601]","","","2017-05-14 13:37"
"920059376","Caii Plinii Secundi Historiae Naturalis Libri XXXVII","Gai Plini Segon; Jean Harduin; Antoine Urbain Coustelier; Claude Duflos; Maurice Baquoy","Latin","book_printbook","","Parisiis : Typis Antonii-Urbani Coustelier ..., 1723.","","","2017-05-14 13:34"
"646368871","Synopsis criticorum aliorumque S. Scripturae interpretum","Matthew Poole","Latin","book_printbook","","Londinis : Typis E. Flesher prostat apud C. Bee, 1669-1676.","","","2017-05-14 13:33"
"9937252","The Old and New Testament connected in the history of the Jews and neighboring nations : from the declension of the kingdoms of Israel and Judah to the time of Christ.","Humphrey Prideaux","English","book_printbook","","London : Printed for R. Kanplock and J. Tonson, 1716-1718.","","","2017-05-14 13:30"
"938666968","The true nature of imposture fully display'd in the life of Mahomet With a discourse annex'd for the vindication of Christianity from this charge. ... By Humphrey Prideaux ...","Humphrey Prideaux","English","book_printbook","","London : Printed for E. Curll, J. Hooke, W. Mears and F. Clay, 1723.","","","2017-05-14 13:19"
"607038029","Shaʻar ʼo Petach ʼel Leshon Hakodesh A gate or door to the holy tongue, opened in English. : Containing. 1. The chief and necessary grounds of the Hebrew grammar. 2. A table for the Hebrew roots, in which all the roots of the Bible are set down ; and a plain and ready way presently to find out the roots of all Hebrew words which are deficient in one or two of their radicall letters, is described. 3. A praxis to the grammar and the table, upon the prophecy by Obadiah ; the Decalogue, and the twelfth chapter of Isaiah: wherein the Hebrew text it self, is first set down ; and then every Hebrew word of those places of scripture is read in English letters, then expounded, and grammatically resolved in English ; and all in so plain and easie a way, as may be made use of by any ordinary capacity of either sexe.","William Robertson","English","book_digital","","London : Printed by J. Flesher, for Joseph Cranford ; and are to be sold at his shop in Pauls Church-yard ; at the sign of the Phenix., 1653.","","","2017-05-14 13:18"
"35143756","The second gate, or, The inner door to the holy tongue : being a compendious Hebrew lexicon or dictionary ; in which all the roots and primitive words in the Bible, both Hebrew and Chaldee, are orderly set down and numbred, and their significations expressed, in each several conjugation, wherein they are found extant in the Bible ; with all the derivative nouns, and their significations taken from the roots ; together with so much praxis, or so many places of the Hebrew text, so easily resolved in English, and with such easie directions for learning the language, as that any knowing Christian, man or woman, of ordinary capacity, making use of the former grammar, and this dictionary, with the praxis joined to both, may learn to read and understand the Hebrew Bible ; and that without a teacher. See what is in the book more fully in the following page.","William Robertson","English","book_printbook","","London : Printed by Evan Tyler, for Humph. Robinson, at the three pigeons in St. Pauls Church-yard, and for G. Sawbridge at the Bible on Ludgate hill ; At whose shops the Books are to be sold, and any may know where the author himself stayeth., [1654]","","","2017-05-14 13:15"
"61561873","Otsar leshon ha-ḳodesh = Thesaurus linguae sanctae compendiosè scil. contractus, planè tamen referatus, pleneque explicatus, sive, Concordantiale lexicon Hebraeo-Latino-Biblicum in quo lexica omnia Hebraica, huc usque edita, methodicè, succinctè & quasi synopticōs, exhibentur : una cum concordantiis Hebraicis ...","William Robertson","Latin","book_printbook","","Londini : Excudebat Samuel Roycroft ... impensis Georgii Sawbridge ..., 1680.","","","2017-05-14 13:13"
"34764316","Claudii Salmasii Plinianae exercitationes in Caji Julii Solini Polyhistora : item Caji Julii Solini Polyhistor ex veteribus libris emendatus : accesserunt huic editioni De homonymis hyles iatricae exercitationes antehac ineditae, nec non De manna & saccharo.","Claude Saumaise","Latin","book_mic","","Trajecti ad Rhenum : Apud J. vande Water, 1689.","","","2017-05-13 20:22"
