"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"66297422","Johannis BuxtorfI Lexicon Hebraicum et Chaldaicum : complectens omnes voces, tam primas quàm derivatas, quæ in Sacris Bibliis, Hebræâ, & ex parte, Chaldæâ linguâ scriptis extant ... : Accessit Lexicon breve rabbinico-philosophicum, communiora vocabula continens, quæ in commentariis passim occurrunt. ; Cum indice vocum Latino.","Johannes Buxtorf; König, Ludwig (I, erven, Bazel)","Latin","book_printbook","","Basileæ : Sumptibus Hæredum Ludovici König, 1645.","","","2017-05-09 20:44"
"907602784","Johannis BuxtorfI Manuale Hebraicum et Chaldaicum : quo significata omnium vocum, tam primarum, quam derivatarum, quotquot in Sacris Bibliis, Hebræâ & partim Chaldæâ linguâ scriptis, extant, solidè & succinctè explicantur ...","Johannes Buxtorf; König, Ludwig (I, Bazel)","Latin","book_printbook","","Basileæ : Impensis Ludovici Köning, 1631.","","","2017-05-09 20:41"
"38127202","The schollers companion, or, A little library containing all the interpretations of the Hebrew and Greek Bible by all authors : first into the Latine, and now (with the English of every Latine word added thereunto) brought into a pocket book ...","Alexander Rowley; Duke University. Library. Gilbert Collection.","English","book_printbook","","[London] : Imprinted at London by M. Bell for William Larner and George Whittington, 1648.","","","2017-05-09 20:39"
