"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"85064398","The life of David, or, The history of the man after God's own heart.","Peter Annet; Archibald Campbell; John Noorthouck; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress);","English","book_printbook","","London : Printed for T. Coote and J. Waller, MDCCLXXII [1772]","","","2017-05-01 14:49"
"999518","The whole duty of man : laid down in a plain and familiar way for the use of all, but especially the meanest reader : divided into XVII chapters, one whereof being read every Lord's day, the whole may be read over thrice in the year : necessary for all families :  with private devotions for several occasions.","Richard Allestree; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress)","English","book_printbook","","London : Printed by R. Norton, for E. Pawlet, at the sign of the Bible in Chancery-Lane near Fleetstreet, 1716.","","","2017-05-01 14:43"
"1369911","An examination of Mr. Warburton's account of the conduct of the antient legislators, of the double doctrine of the old philosophers, of the theocracy of the Jews, and of Sir Isaac Newton's Chronology","Arthur Ashley Sykes; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress)","English","book_printbook","","London : Printed for J. and P. Knapton ..., MDCCXLIV [1744]","","","2017-05-01 14:42"
"893668733","A dictionary of the Holy Bible : containing an historical account of the persons, a geographical and historical account of the places, a literal, critical, and systematical description of other objects, whether natural, artificial, civil, religious, or military : and the explication of the appellative terms mentioned in the writings of the Old and New Testament : the whole comprising whatever important is known concerning the antiquities of the Hebrew nation and church of God : forming a sacred commentary, a body of scripture history, chronology, and divinity, and serving in a great measure as a concordance to the Bible","John Brown; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress)","English","book_printbook","","Pittsburgh : From the ecclesiastical and literary press of Zadok Cramer, 1807.","","","2017-05-01 14:42"
"6899468","The religion of nature delineated.","William Wollaston; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress); Pre-1801 Imprint Collection (Library of Congress)","English","book_printbook","","Glasgow : Printed by R. Urie and Company, MDCCXLVI [1746]","","","2017-05-01 14:38"
"4613541","A scriptural account of the millennium : being a selection from the prophecies concerning Christ's second coming, and personal glorious reign on earth a thousand years : to which are added, a number of arguments to shew that this event has not yet taken place : also, some observations, calculated to stimulate man to an enquiry into the matter, and to make the necessary preparation for that all-important event","Benjamin Gorton; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress); Joseph Meredith Toner Collection (Library of Congress)","English","book_printbook","","Troy [New York] : Printed by Moffitt & Lyon, for the author, MDCCCII [1802]","","","2017-05-01 14:36"
"899738442","Illustrations of prophecy : in the course of which are elucidated many predictions, which occur in Isaiah, and Daniel, in the writings of the evangelists, and the books of Revelation : and which are thought to foretell, among other great events, a revolution in France, favorable to the interests of mankind, the overthrow of the papal power, and of ecclesiastical tyranny, the downfal [sic] of civil despotism, and the subsequent melioration of the state of the world : together with a large collection of extracts, interspersed through the work and taken from numerous commentators, and particularly from Joseph Mede, Vitringa, Dr. Thomas Goodwin, Dr. Henry More, Dr. John Owen, Dr. Cressener, Peter Jurieu, Brenius, Bishop Chandler, Sir Isaac Newton, Mr. William Lowth, Fleming, Bengelius, Daubuz, Whitby, Lowman, Bishop Newton, and Bishop Hurd","J  L Towers; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress)","English","book_printbook","","[Philadelphia] : Printed and published by William Duane, Philadelphia, 1808.","","","2017-05-01 14:08"
"45008901","Christian panoply : containing An apology for the Bible in a series of letters addressed to Thomas Paine, author of a book entitled The age of reason, part the second","Richard Watson; William Paley; Thomas Jefferson; American Imprint Collection (Library of Congress); Thomas Jefferson Library Collection (Library of Congress);","English","book_printbook","","Shepherd's-Town : Printed by P. Rootes & C. Blagrove, 1797.","","","2017-05-01 14:08"
"906794734","An apology for the Bible : in a series of letters addressed to Thomas Paine, author of a book entitled, The age of reason, Part the second, Being an investigation of true and of fabulous theology","Richard Watson; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress); Oliver Wolcott Pamphlet Collection (Library of Congress)","English","book_printbook","","Philadelphia : Printed by James Carey ..., 1796.","","","2017-05-01 14:07"
"8234072","The Holy Bible.","Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress);","English","book_printbook","","London : Published by R. Bowyer, Historic Gallery ..., 1796.","","","2017-05-01 14:01"
"906797980","Two sermons : viz., I. The present state of Europe compared with antient prophecies : preached on the Fast-day in 1794 : with a preface, containing the reasons for the author's leaving England : II. The use of Christianity, especially in difficult times : being the author's farewell discourse to his congregation at Hackney","Joseph Priestley; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress)","English","book_printbook","","Philadelphia : Printed by Thomas Dobson, at the Stone-house, no. 41, South Second-Street, MDCCXCIV [1794]","","","2017-05-01 13:57"
"893055677","A harmony of the Evangelists in Greek : to which are prefixed critical dissertations in English","Joseph Priestley; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress);","English","book_printbook","","London : Printed for J. Johnson ..., MDCCLXXVII [1777]","","","2017-05-01 13:56"
"830196778","A new history of the Holy Bible : from the beginning of the world to the establishment of Christianity : with answers to most of the controverted questions, dissertations upon the most remarkable passages, and a connection of profane history all along : to which are added, notes explaining difficult texts, rectifying mistranslations, and reconciling seeming contradictions : the whole illustrated with proper maps and scupltures","Thomas Stackhouse; George Wythe; Thomas Jefferson; Thomas Jefferson Library Collection (Library of Congress)","English","book_printbook","","Edinburgh : Printed for Alex. Donaldson, and John Wood, and for James Meuros, bookseller in Kilmarnock, MDCCLXVII [1767]","","","2017-05-01 13:55"
